Commodity,Variety_Count,Varieties
Riccbcan,2,"Other, RBL-1"
Rice,197,"1009 Kar, ADT 39, AP Raw Rice 5293, AP Raw Rice Baptla Ponni, AP Raw Rice PLR Soma, AP Raw Rice SilkyRaw, AP Raw Rice-1001, AP Raw-Rice Sona Ponni, Alur Sanna, Ambemohor Basmati, Amira Mogra Basmati, Amira Tibar Basmati, Amire Full Basmati, Amras Non Basmati, Annapoorna, Arcot Kichikdi, Arti Mashuri, B P T, BT Sona, Balesuli, Bangar Kaddi, Bangarkhovi, Bangarsanna, Bantwal, Basamti Dawat, Basmati, Basmati (Rose), Basmati Car, Basmati Charmi, Basmati Dawat, Basmati Dawat Roz-(20KG), Basmati Golden Sela New, Basmati Golden Sela Old, Basmati Haryana Raw (New), Basmati Haryana Raw (Old), Basmati Haryana Sela (New), Basmati Mogra (Raw/New), Basmati Mogra (Raw/Old), Basmati Paddy, Basmati Silky Kohinoor, Basmati Super Kohinoor, Basmati Trophy, Basmati U.P. (New), Basmati U.P. (Old), Basmati-370, Basmati-385, Basmati-386, Basmatibar (Raw/New), Basmatibar (Raw/Old), Basmatidubar Raw/New, Basmatidubar Raw/Old, Basumathi, Bellary Sanna, Boiled Rice, Broken Rice, Broken Rice (Kanki), CO 36, CO-43 (Medium) Boiled, CR 1009 (Coarse) Boiled, Chinoor, Chintamani Sanna, Coarse, Coarse (I.R.20), Common, Culture Ponni1, Culture Ponni2, Dappa, Dawal Full Basmati, Dawat, Dawat Mogra, Dhoon Full Basmati, Dhoon Tibar Basmati, Doon Kinki Basmati, Dosa Rice, EMR Boiled, Export Parmal, FCI Non Basmati, FCI Parmal, Farm Kaddi, Fine, Fine (Basmati), GMR Steam, Govt. Quality, Gowrisanna, H.Y.V., HMT Fine Raw, HMT Sona Best, HMT Sona Medium, Hamsa St., Hansa, Hassan Dappa, Hmt Rice-Non Basmati, III, IR 20, IR 20 Fine Raw, IR 20 Medium Boiled, IR 50, IR-8, IR-8 Raw (New), IR-8 Raw (Old), IR-8 Sela (New), IR-8 Wand, IR20 Parboiled, Intan, Jaya, Jeera Samba, Jhilli Medium, Kachha Basmati, Kaddi, Kalanamak, Kalimuch, Kapila Sanna, Kattasambar, Kesari (Coorg), Kichudi, Kolam-Non Basmati, Lashkari, Long Bold, Madhu (MR 136), Mandya-vani, Manila, Masoori-Non Basmti, Masuri, Mataa Parboiled, Medium, Milled, Mnadyavani, Motta (Coarse) Boiled, Mull Bhatte, Naya, Nellore Sanna, Non Basmati Kalimunch, Original Basmati, Other, PR-103, PR-106, PR-108, PR-111, Padma, Parimal (New), Parimal (Old), Parmal, Parmal (Paddy), Parmal Raw (New), Parmal Sela, Parmal Selas (New), Parmal Wand, Ponni, Ponni (Fine) Boiled, Ponni Fine Raw, Ponni parboiled, Popular Basmati, Punjab Parmal Non Basmati, Pusa Basmati (Paddy), Pusa Basmati Raw (New), Pusa Basmati Raw (Old), Pusa Basmati Sela (New), Pusa Basmati Sela (Old), Putta Bhatta (White Rice), Rajahamsa, Rasi, Ratnachudi (718 5-749), Rice Bran (Kukuf), Rice Floor, Sadharan, Sambar, Sanna Bhatta, Sanna Honsu, Sarbati Raw, Sarbati Raw (New), Sarbati Raw (Old), Sarbati Sela (Old), Sela Basmati, Shakti, Sharbati (Paddy), Sona, Sona Boiled, Sona Coarse, Sona Fine, Sona Mansoori Non Basmati, Sona Medium, Sona Raw New, Sona Raw Old, Sona St., Sujatha (B. T), Super Fine, Suvarna Best, Suvarna Medium, Swadras Non Basmati, Tallahamsa (Bilihamsa), Tericot Sela, Vijaya, White Car, White Parboiled, Zeeraga Samba Rawrice, andra Sanna, anekombu Sanna"
Ridgeguard (Tori),2,"Other, Ridgeguard (Tori)"
Rose (Local),2,"Other, Rose (Local)"
Rose (Loose)),2,"Other, Rose (Loose)"
Rose (Tata),2,"Other, Rose (Tata)"
Round gourd,2,"Other, Round gourd"
Rubber,2,"Other, RSS-4"
Sabu Dan,2,"Other, Sabu Dan"
Safflower,6,"F.A.Q. Bold, Kusum (Safflower), N.Q., Other, Safflower, Small"
Saffron,2,"Saffron, Saffron-Organic"
Sajje,2,"Other, Sajje"
Same/Savi,6,"Local, Organic, Other, Saanva/Sama, Same/Savi Local, Savo Others"
Sanai/Sunhemp,1,Other
Sarasum,1,Other
Season Leaves,2,"Other, Season Leaves"
Seemebadnekai,2,"Other, Seemebadanekai"
Seetapal,3,"Custard Apple-Organic, Other, Seethaphal"
"Sesamum (Sesame,Gingelly,Til)",14,"95/5, Black, Chitti, Crushing, Gajjar, Nylon Til, Other, Punjab Til No.1, RC-289, Red, Sesame, Sesame or Til-Organic, White, Whitish"
She Buffalo,2,"Other, She Baffelo"
She Goat,2,"Other, She Goat"
Sheep,4,"Other, Sheep Large, Sheep Medium, Sheep Small"
Siddota,2,"Other, Siddota"
Skin And Hide,1,Other
Snakeguard,4,"Other, Sarpagandha, Sarpagandha-Organic, Snakeguard"
Soanf,3,"Fennel-Organic, Other, Soanf"
Soapnut (Antawala/Retha),3,"Fine New, Medium, Other"
Soji,4,"Bansi Soji, Other, Soji, White Soji"
Sompu,2,"Chalu, Other"
Soyabean,7,"Black, Local, Other, Soyabeen, Soybean-Organic, Sup, Yellow"
Spinach,3,"Organic, Other, Spinach"
Sponge gourd,3,"Organic, Other, Sponge gourd"
Squash (Chappal Kadoo),2,"Other, Squash (Chappal Kadoo)"
Sugar,8,"Chini, Fine, Khand, M-30, Medium, Other, S-30, Shakkar"
Sugarcane,3,"Local, Other, Sugarcane"
Sunflower,13,"Bold, F.A.Q., GKFSH-2002, Hybrid, JawalaMukhi, Local, MSFH 8, Mega 363, NSFH-592, Other, PSFH-6, SH-3322, Sunflower"
Sunflower Seed,2,"Other, Sunflower Seed"
Sunflower/Sunflower Seed,4,"Hybrid, Other, Sunflower, Sunflower Seed"
Sunhemp,4,"Organic, Other, Sun, Sunhemp"
Suram,2,"Other, Suram"
Surat Beans (Papadi),2,"Other, Surat Beans (Papadi)"
Suva (Dill Seed),3,"Other, Suva, Suva (Dill Seed)"
Suvarna Gadde,1,Suvarnagadde
Sweet Potato,4,"Hosur Green, Hosur Red, Other, Sweet Potato"
Sweet Pumpkin,2,"Other, Sweet Pumpkin"
T.V. Cumbu,2,"Other, T.V. Cumbu"
Tamarind Fruit,16,"Chapathi, Flower A/c, Karpuli A/c Fine, Karpuli A/c Medium, Non A/c Fine, Non A/c Flower, Old Fine, Old Medium, Organic, Other, Seedless 1Variety, Seedless 2Variety, Tamarind, Tamarind Fruit, With Seed 1Variety, With Seed 2Variety"
Tamarind Seed,2,"Other, Tamarind Seed"
Tapioca,2,"Other, Tapioca"
Taramira,2,"Other, Taramira"
Tea,6,"All Dust, Assam C.T.C. Dust, Assam C.T.C. Leaf, C.T.C. Dust, Cachar C.T.C. Leaf, Other"
Tender Coconut,2,"Other, Tender Coconut"
Thinai (Italian Millet),2,"Other, Thinai (Italian Millet)"
Thogrikai,2,"Other, Thogarikai"
Thondekai,2,"Other, Thondekai"
Tinda,3,"Organic, Other, Tinda"
Tobacco,5,"Beedi, Chewing, Other, Tobacco, Verginia"
Tomato,6,"Deshi, Hybrid, Local, Other, Sankar, Tomato"
Torchwood,1,Other
Toria,3,"Other, PBT-37, Toria"
Tube Flower,2,"Other, Tube Flower"
Tube Rose (Double),2,"Other, Tube Rose (Double)"
Tube Rose (Loose),2,"Other, Tube Rose (Loose)"
Tube Rose (Single),2,"Other, Tube Rose (Single)"
Tulip,1,Tulip
Turmeric,16,"Bulb, Cured, Dry, Erode K.K.S., Finger, Local, Other, Phode, Rajapuri, Rajmundhry, Root, Turmeric, Turmeric Powder, Turmeric Round, Turmeric Stick, Turmeric-Organic"
Turmeric (raw),2,"Other, Turmeric (raw)"
Turnip,3,"Organic, Other, Turnip"
Walnut,2,"Other, Walnut"
Water Melon,2,"Other, Water Melon"
Wheat,81,"147 Average, 147 Best, 1482, 2189 No. 1, 2189 No. 2, 2329, 343, Bansi, C-83, Chandausi, Coarse, Dara, Dara Mill Quality, Deshi, Farmi, GW 273, H.D., HD-2329, Hand Clean Bold New, Hybrid, Jawari, Kalawal, Kalyan, Kanak, Kirthi, Local, Lok -1 (Nilami Rate), Lok-1, Lok-1 Best, Lokwan, Lokwan Binar, Lokwan Filter, Lokwan Gujrat, Lokwan MP No. 1, Lokwan MP No. 2, MP (Desi), MP 147, MP 308, MP Lokwan, MP Quality, MP Sharbati, Maharashtra 2189, Malwa Shakti, Medium, Medium Fine, Mexican, Milbar, Mill Quality, Mohan Mondal, Other, PBW-154, PBW-299, PBW-34, PBW-343, PBW-373, PDW-233, PISSI, Punjab - Sona Kalyan, Punjab-Mill Dhada, RR21, Raj-3765, Rajasthan Lokwab, Rajasthan Tukdi, Red, Sechor No. 1, Sehor No. 2, Sharbati, Sona, Sonalika, Sujata, Super Fine, Superior, TL-1210, U.P. 301, UP 308, WH-542, WL711, Wheat, Wheat Mix, Wheat-Organic, White"
Wheat Atta,2,"Other, Wheat Atta"
White Muesli,2,"Safed Musli-Organic, White Muesli"
White Peas,3,"Gota, Other, White Peas"
White Pumpkin,2,"Other, White Pumpkin"
Wood,18,"Beete (Rose), Casuarina, Eucalyptus, Ganjan, Hanimattl, Honne, Iyani, Jack Tree, Kalan, Mango Tree, Matthi, Nandi, Other, Rampatre, Silveroak, Subabul, Teal, White Sedar"
Wool,2,"Other, Wool"
Yam,2,"Other, Yam"
Yam (Ratalu),2,"Other, Yam (Ratalu)"
basil,4,"Basil, Basil leaves, Basil seed, Basil wild"
buttery,2,"Buttery, Buttery-Organic"
dhawai flowers,1,Flowers of Dhavai
dried mango,6,"Aam khatai, Amacaria, Dried Mango-Organic, Other, Pulp free, with pulp"
gulli,2,"Gulli, Gulli-Organic"
karanja seeds,1,Karanja Seeds
kutki,1,Kutki/gnat
liquor turmeric,1,Daru haldi
mango powder,2,"Amchoor-Organic, Amchur"
nigella,1,Kalonji
nigella seeds,3,"Kalonji, Kalonji/Nigella, nigella seeds-Organic"
poppy seeds,4,"Khaskhas, Other, Poppy seed, Poppy seeds-Organic"
sanay,1,Sennai
spikenard,1,jatamasi
stevia,1,Stevia
stone pulverizer,1,Stone Crusher
tulip,1,Tulip
vadang,1,Y Windg
