Commodity,Variety_Count,Varieties
Cashew Kernnel,3,"Cashew Kernnel, Cashewnut, Other"
Cashewnuts,9,"320 Counts, American (Raw) without Shell, J.H., Jambu, Kernel, L.W.P., Local (Raw), Other, S.W."
Castor Oil,2,"Castor Oil, Other"
Castor Seed,4,"Caster, Castor seed, Organic, Other"
Cauliflower,9,"African Sarson, Cauliflower, GSL-1, GSL-2, Local, Other, PC-5, PGSH-51, Ranchi"
Chakotha,2,"Chakootha, Other"
Chapparad Avare,2,"Chapparada Avarekai, Other"
Chennangi (Whole),2,"Chennangi (W), Other"
Chennangi Dal,5,"Chennangi Dal, Gram Chapa, Gram Kata, Local/Jawari, Other"
Cherry,2,"Cherry, Other"
Chikoos (Sapota),2,"Other, Sapota"
Chili Red,9,"Bold, Degi Mirchi, Dry, Dry Sup, Geeli Mirchi, Grade II, Other, Parry, Red"
Chilly Capsicum,2,"Chilly Capsicum, Other"
Chow Chow,2,"Chow Chow, Other"
Chrysanthemum,2,"Chrysathemum (Loose), Other"
Chrysanthemum (Loose),2,"Chysanthemum (Loose), Other"
Cinamon (Dalchini),2,"Cinamon (Dalchini), Other"
Cloves,1,Other
Cluster beans,2,"Cluster Beans, Other"
Coca,1,Other
Cock,6,"Boiler/Firm (White), Boiler/Firm (White-Brown), Deshi, Layear, Local, Other"
Cocoa,1,Other
Coconut,10,"Big, Coconut, Grade- II, Grade-I, Grade-III, IISort without Husk, Imported, Medium, Other, Small"
Coconut Oil,3,"Copra Oil, Other, Refind Copra Oil"
Coconut Seed,2,"Coconut Seed, Other"
Coffee,3,"Other, Plantation A, Robchy AB"
Colacasia,4,"Arabi, Colacasia, Organic, Other"
Copra,7,"Ball, Copra, Medium, Milling Copra, Other, Small, other"
Coriander (Leaves),6,"Coriander, Coriander-Organic, I Sort, Local, Mota, Small, Other"
Corriander seed,8,"A-1, Green, Badami Steam, Broken Vadap, Coriander Seed, Eagle, Full Green, Medium Green, Other"
Cotton,109,"170-C2 (Ginned), 170-CO2 (Unginned), 320F, A-51-9 24mm. FIne, A.C. 122- H4, A.K. 235 (Ginned), A.K. 235 (Unginned), Aka-1 (Unginned), American, Assam Comilla, Bengal Deshi (A) FIne, Bramha, Bunny, CJ 73 22mm FIne, CO-2 (Unginned), CO2 (Ginned), Cotton (Ginned), Cotton (Unginned), Cotton US, DCH-32 (Ginned), DCH-32 (Unginned), DIGVIJAY 24mm, Superfine, Desi, F-1054, F-1378, F-505, F-846, Farm (Ginned), Farm (Unginned), Farm PCG, G-6, G.Cot-13, G.Cot-21, GCH, Ginned Cotton, H 420, H-4 (A) 27mm FIne, H-6, H-777, H.B (Ginned), H.B (Unginned), H.Y.4 (Unginned), H4, HB6, Hampi (Ginned), Hampi (Unginned), Hy-4 (Ginned), J-34, J3H, JKH 25, Jarilla (Ginned), Jarilla (Unginned), Jayadhar, Jayadhar (Ginned), Jayadhar (Unginned), Jayadhar 23mm-FIne, Jayalakshmi (Unginned), Kapas (Adoni), Krishna, L 147, L-K, LD-230, LD-327, LD-491, LDH-11, LH-1556, LH-900, LRA, LRA (Ginned), Laxmi, Laxmi (Ginned), Laxmi (Unginned), Lh-1134, Local, Long fiber, MCU, MCU 5, MCU-5 (A) 31mm FIne, MCU-7, MECH-1, MECH-4, Mahico, Mector, Medium Fiber, Mungari (Ginned), Mungari (Unginned), N-44, Narma BT Cotton, Other, PCO2, R-51 (Ginned), R-51 (Unginned), R.G.J-34 24mm-Fine, RCH-2, Savita, Shanker 4 31mm FIne, Shanker 6 (B) 30mm FIne, Surabi, Suvin 40mm (F), Suyodhar (Ginned), V-797 22mm FIne, Varalakshmi (Ginned), Varalaxmi, Varalaxmi (A) 36mm (1-13/32)F, Wagad 20mm (F), Without Ginned Cotton, Y-1, Y-1/ Jyoti 24mm. FIne, lra (Unginned)"
Cotton Seed,3,"Binola-Organic, Cotton Seed, Other"
Cow,2,"Cow, Other"
Cowpea (Lobia/Karamani),8,"Cowpea (W-S), Cowpea (Whole), Cowpea Dal (Split), Farm, Imported, Jawari/Local, Lobia or Moth, Other"
Cowpea (Veg),4,"Bean Barbati, Cowpea (Veg), Organic, Other"
Cucumbar (Kheera),3,"Cucumbar, Cucumber-Organic, Other"
Cummin Seed (Jeera),10,"Bold, Chalu, Common, Cumin-Organic, Cummin Seed (Jeera), Desi, Medium, Other, Pili, Superfine"
Custard Apple (Sharifa),2,"Custard Apple (Sharifa), Other"
Daila (Chandni),2,"Dalia (Chandani), Other"
Dal (Avare),2,"Avare (Whole), Other"
Dalda,2,"Dalda, Other"
Delha,2,"Delha, Other"
Dhaincha,2,"Other, Punjab Dhaincha-1"
Drumstick,2,"Drumstick, Other"
Dry Chillies,36,"1st Sort, 2nd Sort, 3rd Sort, BCL, Bold 1, Bold 2, Byadgi, Chincholi, DCL, Dabbi, Desi, Dry, Dry 1st Sort, Dry 2nd Sort, Dry Chillies, Fine 2, Fine Variety 1, G. I. 1, G. I. 2, GT, Guntur, Hybrid, Kaddi, Kiran, Local, Mankattu, Mysore, Other, Pushajwala, Red, Red New, Red Top, Sankeswara, Single Patti, Talu, White"
Dry Fodder,2,"Dry Fodder, Other"
Dry Grapes,2,"Dry Grapes, Other"
Duck,2,"Local, Other"
Duster Beans,2,"Duster Beans, Other"
Egg,2,"Egg, Other"
Egypian Clover (Barseem),1,Other
Elephant Yam (Suran),2,"Elephant Yam (Suran), Other"
